uuid,name,ssn,job,residenct,blood_group,sex,birthdate
WbA7aKjcFkwEaWy94xavJK,김미경,310011-1308197,경영 및 진단 전문가,광주광역시 서대문구 영동대가 (지아김이동),AB+,F,19540305
9V8oDsu6rY2xaFL2PpoFZi,이서영,050626-1443817,치과 의사,경기도 서산시 압구정71길 (정웅김리),A-,F,20180507
K2q362jgV3HQBZ7my2Wnj3,백정자,940208-1044850,영업 및 판매 관련 관리자,경상남도 청주시 흥덕구 도산대로,B-,F,19380724
KC9YHiZxcwmNMnSZQ37U8d,장상호,850521-1526902,기타 식품가공관련 종사원,전라남도 횡성군 백제고분709가,B-,M,20110824
24e3E64Ci5G63AH2TQB5KH,김지아,240403-2387302,주방 보조원,울산광역시 송파구 삼성가 (수민박리),B+,M,19971131
b8Sv7ghvn3FvJTkQ7VsbpE,김정자,010409-1219762,임상 심리사 및 기타 치료사,전라북도 하남시 논현977로 (경숙황노읍),AB-,M,19861108
koDjLTw9oPaXj5mRb4HbBg,류수진,450222-2985156,방사선사,경기도 부천시 오정구 석촌호수거리 (미경김고읍),A-,M,19260514
ifAAfhFngeazZtVZg92GWF,최동현,860728-2012584,부동산 컨설턴트 및 중개인,대구광역시 중랑구 선릉74거리,AB-,M,19080114
6WzVT7KicgsMjqdqYMkLpe,이성민,810504-2751272,조경원,대구광역시 중구 언주길,B+,F,19450814
BhiDvoWeTLHLcyyrFY5CQ9,이주원,050717-2404382,증권 및 외환 딜러,충청남도 천안시 동남구 백제고분로,A-,F,19140604
h3JGUtMgMjYxWNJdciLVaL,이지혜,200809-2321936,기타 서비스관련 단순 종사원,대전광역시 남구 선릉8거리 (민서한박읍),A+,F,19561219
DcK5wLngMwDVoduQcmAVwj,우지혜,930810-1569712,사회복지관련 관리자,전라남도 괴산군 봉은사4거리 (아름박김읍),AB+,F,19181201
R8h7pmCVVxyEvafhqzd6SR,이명자,760210-1163780,기타 건설/전기 및 생산 관련 관리자,울산광역시 강남구 도산대로,A+,M,19570905
WbH8bgFJ3BB5BAFicDGqUT,강영자,450703-2531794,혼례 종사원,강원도 화천군 도산대211거리,B-,M,19770104
R4YnfUuxfbF4Lbj4jrgrhN,박정자,850200-2116385,통신공학 기술자 및 연구원,충청남도 화성시 언주39로,O+,F,20051223
Uf94odYeGK8xH962K8H5Ve,이예은,000009-2726160,대학 교육조교,대전광역시 동대문구 석촌호수길,AB+,F,19460106
fjxkz8w4GA4j4nQqCbuRdX,김경수,070417-2987273,제조관련 단순 종사원,강원도 논산시 역삼가 (영미김면),AB+,F,19310504
LgsbhhgcYBvbRoQXpArACL,서지영,500624-1922365,전기 부품 및 제품제조 기계조작원,경상북도 안산시 논현930거리 (지원나동),B-,F,19820703
FeDKaG982Gnxx42ZCfhNaF,양영식,010309-2424280,문리 및 어학 강사,울산광역시 성북구 논현가,O-,F,19100922
hfaLztHyixira54mXDXUbz,강도현,450420-2630755,점토제품 생산기 조작원,부산광역시 강북구 개포길 (영숙김읍),A+,F,20230828
Y4tCvHFCdGDbRGKiGcDdvQ,남영자,030408-1529206,통신 및 관련 장비 설치 및 수리원,대전광역시 구로구 도산대로 (성현김읍),AB-,F,19680422
ZbYf3hL2G7YApHBoBxGQDh,손민준,800128-1700730,자재관리 사무원,광주광역시 노원구 강남대로,AB-,F,19871231
ECrmcdGsgcLChaq53gNCoG,최준혁,870623-2435046,환경공학 기술자 및 연구원,부산광역시 동작구 선릉644거리,AB+,F,19981127
jvo8nzzr3BBrdF7TQRXevK,고도윤,080222-1079685,정육원 및 도축원,경상북도 여주시 역삼226거리,B-,M,19291113
GUBT6V6Th98JxYwpqRvkBd,이지원,780722-1276692,도장기 조작원,전라북도 양양군 잠실거리,AB+,F,19180619
4FvZB5yeQJeTJsy9DWCmBV,차성진,620014-1510963,목제품 제조관련 종사원,경상남도 양평군 논현0가 (채원엄면),AB+,M,19580916
3bpt9j96WQxgLDEfgMPUA7,황중수,740006-1472098,기타 연극/영화 및 영상 관련 종사자,대구광역시 영등포구 오금4거리,B+,M,19260514
LqbLDnXowMdVdenKeqbJos,이수진,330013-2172978,자연과학 시험원,경기도 광명시 역삼길,A-,M,19481228
HTqQaQJaavaPoDEaMBe8VZ,심시우,660415-1326888,총무 사무원,경상남도 용인시 도산대3길,A-,M,19210814
S7K3NW4bEwUe4y6pUCnMUY,김예원,740924-1353399,철도 기관차 및 전동차 정비원,경상남도 공주시 오금6길,A-,F,19300827
Ldg3Abfn4ntsQV9YikjTCp,김유진,520712-1296736,항공기 조종사,서울특별시 송파구 압구정거리,O-,F,19290718
Nn6S4AzVNUatpNch9SeAPj,문경숙,740728-1012888,운송관련 관리자,광주광역시 구로구 양재천길,B-,M,19400630
4VNZDhYiFhWAmrSnEiY4Lo,한승민,860003-2257138,무인 경비원,경상북도 의정부시 잠실가 (은경김김면),B-,M,20020413
mq5eQ9MGwG6Lio5zN863sf,심성진,700825-2527131,마술사 및 기타 문화/ 예술 관련 종사자,울산광역시 양천구 가락552길 (지혜이문리),A-,M,19840811
Wq9NA2FocsQv4Afu5FEbzA,장예지,590325-2795418,기타 서비스관련 단순 종사원,서울특별시 강동구 도산대0길,A+,F,19360601
MtCxwGnybpwUsDDDrysY9B,박건우,930808-1910206,이용사,인천광역시 성동구 학동로 (정수이리),AB-,F,19310611
mQth6NDxn45Hxsibvgyeg4,이준영,450216-2324321,기타 제조관련 기계 조작원,경상남도 화천군 영동대8가 (정자임마을),A+,M,19921007
LM8X5tPQgr6VLTtQj35a7S,김도현,430523-1317148,석유 및 천연가스제조 관련 제어장치 조작원,제주특별자치도 수원시 영통구 강남대거리 (하윤송읍),A-,F,20030409
mYETBV5TnZHYHosH4xMgth,문유진,750208-2965031,이용사,부산광역시 광진구 백제고분로 (유진이읍),B-,M,20030601
N7kMYKqpwi2Ky9pdtMqoP2,박지훈,060918-2366693,사서 및 기록물관리사,경상북도 용인시 수지구 삼성802가,B+,F,19731003
6tNgTyFuJtHUWxezPYPHnf,김정남,530310-1566638,단조기 조작원,제주특별자치도 천안시 동남구 서초대가 (정자김김면),O-,M,19100324
9g4iSqYkpEY3cA6kSgb6R4,최수진,900807-2391605,기타 공학관련 기술자 및 시험원,세종특별자치시 동구 언주041로,AB+,M,19520515
44nPbVdn8gaBWNKKKnCbTV,남정희,360829-2219626,청소원,서울특별시 남구 백제고분9거리,A+,M,19151121
Sc8uiiaxwFUGArhLks4XnM,김경자,810621-1613300,일식 주방장 및 조리사,제주특별자치도 가평군 백제고분06가 (영순양마을),O+,F,19900917
5arFhg53ixz36BQts7gDtn,이현지,950223-1800643,컴퓨터 하드웨어 기술자 및 연구원,충청북도 인제군 서초대거리 (서윤이박동),O+,F,19971216
XdpWcnGgAtVkUSKc4fBtgd,권미숙,930520-2685976,판사 및 검사,울산광역시 남구 잠실89길 (영환김면),B+,M,19430711
EqBEfq2YQBGRby5DsHhfZm,최상훈,670418-1721478,감독 및 기술감독,강원도 용인시 학동89길 (재호박동),O+,F,19150125
NcsjhEHRgqZ5FG9tuyjojC,민지훈,510223-2518511,목재 가공관련 기계 조작원,광주광역시 강북구 개포7가,B-,M,19930110
kUVMqgLQQuHnM36vvAsjt3,성영일,590307-2137015,가수 및 성악가,인천광역시 중구 오금144가 (영미박윤리),O+,M,19820324
hVFYSqFewi8HmFPTqqxecw,박지혜,980008-1563236,변호사,인천광역시 용산구 백제고분길,A-,F,19550103
Sxqfjci9cJxpY7MxUsEwYW,이정남,500406-1888165,외선전공,서울특별시 마포구 반포대71길 (은영이최마을),A+,F,20050829
DJQXQwSYnaL8mnPSxZjYS6,지정호,260710-1923916,행사기획자,경상북도 평창군 개포거리 (승현문남읍),AB+,F,19310502
czRxYHjmE9LTs88W6feutn,유영희,260707-1963045,결혼 상담원 및 웨딩플래너,충청남도 용인시 처인구 테헤란560로,AB-,F,19180625
WLtWNZq7avbo39YMSoBNiJ,김은경,050011-1943154,감정평가 전문가,세종특별자치시 서구 서초대54길,B+,F,20060311
cSgvbxPzRWwJpqReL6Vx2S,이수빈,240825-2491510,우편물 집배원,제주특별자치도 동두천시 개포거리 (지연김이리),AB-,M,19710115
YwxD2gAuzgEmEjd5oBZGAY,신준서,530223-1995454,청원 경찰,울산광역시 남구 영동대771거리 (도윤김마을),A-,F,20140923
KY9Aix3BmVqZpDQPGDzaJ7,김정훈,870717-2088584,용접원,전라북도 속초시 삼성가,A-,F,19600902
M8kCy7NDdkogJgJsPcWf7w,김서영,670717-2537080,인문과학 연구원,경기도 괴산군 압구정거리 (영희윤읍),O-,F,19290106
6v6qqDzzZiHfPy2QuaeZon,이정자,490827-1012538,기타 직물 및 신발 관련 기계조작원 및 조립원,충청남도 청주시 청원구 개포거리 (영일이읍),A+,F,19570707
CZrpRNXw2VmsNEZoCfnsVT,김진우,950300-1584417,사회복지사,울산광역시 동대문구 양재천64가,A+,M,19440509
d578Vm97vSP27VvH64dnbA,조영희,320912-2404368,성직자,인천광역시 서대문구 영동대38로 (민준이리),B-,F,20090611
MCD3EkvtimfLXGTbSkiDSA,박예원,990016-2976218,육아 도우미,전라남도 안양시 만안구 양재천72로,A-,M,19930627
nzTtBNfPkF4gpGqAq8Ugrf,차미정,570127-1753371,전기/전자 및 기계 공학 시험원,울산광역시 강북구 도산대03가 (지우이이리),B-,M,20101113
TxarMbxZPnA3r6ofDe9eBb,김영순,140420-2299195,항공기 조종사,제주특별자치도 남양주시 도산대가,B-,F,19590412
cmFTw4ejLUPwiU6inGY3bP,정혜진,090623-2108970,환경/청소 및 경비 관련 관리자,울산광역시 송파구 역삼706가 (서준손박동),A+,F,20151102
coAsZBywi4dsyutzCDECKB,김진호,440513-1886756,유리제조 및 가공기 조작원,대전광역시 서대문구 서초중앙5로,B+,F,19311013
Xh3GQM744NPBBk653GKbGk,한지민,200306-1980571,기타 종교관련 종사자,충청남도 아산시 서초대로 (민서엄오읍),B-,F,19340208
YiV8FvVV7cYwmYDBgFNBQo,백상호,100305-2457900,영상 및 관련 장비 설치 및 수리원,세종특별자치시 강북구 서초중앙293거리 (민재김마을),B-,F,19590531
